Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Injury.Severity,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,FAR.Description,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Total.Fatal.Serious,Plane.Type
20170408X45617,Accident,ERA17CA149,2017-04-08,"Culpepper, VA",United States,Non-Fatal,Airplane,N3167G,NORTH AMERICAN,T 6G,No,091,0.0,1.0,1.0,0.0,1.0,NORTH AMERICAN T 6G
20170408X73024,Accident,ERA17LA150,2017-04-08,"South Lakeland, FL",United States,Non-Fatal,Airplane,N1362G,CESSNA,310R,No,091,0.0,0.0,0.0,2.0,0.0,CESSNA 310R
20170410X64605,Accident,GAA17CA223,2017-04-08,"New Carlisle, OH",United States,Non-Fatal,Airplane,N8350U,CESSNA,172,No,091,0.0,0.0,0.0,2.0,0.0,CESSNA 172
20170411X42210,Accident,GAA17CA226,2017-04-08,"Santa Teresa, NM",United States,Non-Fatal,Airplane,N3938Y,CESSNA,210,No,091,0.0,1.0,0.0,0.0,1.0,CESSNA 210
20170411X83030,Accident,CEN17LA151,2017-04-08,"Nome, TX",United States,Non-Fatal,Airplane,N971QC,GRUMMAN ACFT ENG COR-SCHWEIZER,G 164A,No,137,0.0,0.0,0.0,1.0,0.0,GRUMMAN ACFT ENG COR-SCHWEIZER G 164A
20170428X70031,Accident,DCA17WA105,2017-04-08,"Sibu Warawak, Malaysia",Malaysia,,Airplane,9M-MXX,BOEING,737,No,129,0.0,0.0,0.0,0.0,0.0,BOEING 737
20170410X54254,Accident,CEN17LA150,2017-04-09,"Pontiac, MI",United States,Non-Fatal,Airplane,N36458,PIPER,PA 28R-201,No,091,0.0,0.0,0.0,2.0,0.0,PIPER PA 28R-201
20170418X83115,Accident,GAA17CA234,2017-04-09,"Stafford, KS",United States,Non-Fatal,Airplane,N55067,BELLANCA,8KCAB,No,091,0.0,0.0,0.0,1.0,0.0,BELLANCA 8KCAB
20170419X40838,Accident,CEN17WA160,2017-04-09,"Seine-Maritime, France",France,Non-Fatal,Airplane,F-HNCM,CESSNA,U206,No,,0.0,5.0,0.0,0.0,5.0,CESSNA U206
20170410X71808,Incident,WPR17IA086,2017-04-10,"Livermore, CA",United States,Non-Fatal,Airplane,N755R,BEECH,A36TC,No,091,0.0,0.0,0.0,1.0,0.0,BEECH A36TC
20170413X51732,Accident,GAA17CA232,2017-04-11,"Houston, TX",United States,Non-Fatal,Airplane,N92873,CESSNA,172,No,091,0.0,0.0,0.0,2.0,0.0,CESSNA 172
20170425X30818,Incident,DCA17WA098,2017-04-11,"Dublin, Ireland",Ireland,,Airplane,EI-DAS,BOEING,737,No,NUSC,0.0,0.0,0.0,0.0,0.0,BOEING 737
20170412X52110,Accident,GAA17CA230,2017-04-12,"Manchester, CA",United States,Non-Fatal,Airplane,N7945V,CESSNA,180,No,091,0.0,0.0,0.0,1.0,0.0,CESSNA 180
20170412X71451,Accident,CEN17LA153,2017-04-12,"La Porte, TX",United States,Non-Fatal,Airplane,N95551,CESSNA,152,No,091,0.0,0.0,0.0,1.0,0.0,CESSNA 152
20170412X72340,Accident,GAA17CA228,2017-04-12,"Willow, AK",United States,Non-Fatal,Airplane,N5045E,BELLANCA,8GCBC,No,091,0.0,0.0,0.0,1.0,0.0,BELLANCA 8GCBC
20170412X83735,Accident,GAA17CA231,2017-04-12,"Kenai, AK",United States,Non-Fatal,Airplane,N2144Z,CESSNA,180,No,091,0.0,0.0,0.0,1.0,0.0,CESSNA 180
20170417X91018,Accident,GAA17CA233,2017-04-12,"Llano, TX",United States,Non-Fatal,Airplane,N461RL,PIPER,PA 34,No,091,0.0,0.0,0.0,1.0,0.0,PIPER PA 34
20170609X60849,Accident,WPR17WA123,2017-04-12,"Anem Mountain, Oksibil, Indonesia",Indonesia,Fatal,Airplane,PK-FSO,CESSNA,208,No,,1.0,0.0,0.0,0.0,1.0,CESSNA 208
20170419X50828,Accident,CEN17WA161,2017-04-14,"Cancun, Mexico",Mexico,Fatal,Airplane,N65SE,CHAMPION,8KCAB,No,091,1.0,0.0,0.0,0.0,1.0,CHAMPION 8KCAB
20170426X40247,Accident,DCA17CA101,2017-04-14,"Orlando, FL",United States,Non-Fatal,Airplane,N373JB,EMBRAER,ERJ 190 100 IGW,No,121,0.0,0.0,1.0,3.0,0.0,EMBRAER ERJ 190 100 IGW
20170416X54153,Accident,ERA17FA155,2017-04-15,"Williston, FL",United States,Fatal,Airplane,N4244V,CESSNA,170,No,091,4.0,0.0,0.0,0.0,4.0,CESSNA 170
20170417X83921,Accident,GAA17CA235,2017-04-15,"Richfield, UT",United States,Non-Fatal,Airplane,N481HC,RAYTHEON AIRCRAFT COMPANY,B200,No,091,0.0,0.0,0.0,1.0,0.0,RAYTHEON AIRCRAFT COMPANY B200
20170418X31628,Accident,CEN17LA157,2017-04-15,"Minden, LA",United States,Non-Fatal,Airplane,N7358E,CESSNA,210,No,091,0.0,0.0,0.0,2.0,0.0,CESSNA 210
20170417X95902,Accident,ANC17LA020,2017-04-16,"Willow, AK",United States,Non-Fatal,Airplane,N9362X,CESSNA,182,No,091,0.0,1.0,0.0,0.0,1.0,CESSNA 182
20170424X40402,Incident,DCA17WA097,2017-04-17,"Amsterdam, Netherlands (the)",Netherlands,Non-Fatal,Airplane,VT-JEW,BOEING,777,No,NUSC,0.0,0.0,0.0,358.0,0.0,BOEING 777
20170419X25815,Accident,WPR17FA105,2017-04-17,"Sierraville, CA",United States,Fatal,Airplane,N28070,SOCATA,TB 20 TRINIDAD,No,091,2.0,0.0,0.0,0.0,2.0,SOCATA TB 20 TRINIDAD
20170503X35050,Incident,DCA17WA107,2017-04-17,"New Delhi, India",India,,Airplane,VT-IDB,AIRBUS,A320,No,NUSC,0.0,0.0,0.0,0.0,0.0,AIRBUS A320
20170419X01252,Accident,CEN17RA158,2017-04-17,"Cascais, Portugal",Portugal,Fatal,Airplane,HB-LTI,PIPER,PA31T,No,NUSN,4.0,0.0,0.0,0.0,4.0,PIPER PA31T
20170418X01152,Accident,ERA17FA156,2017-04-18,"East Windsor, CT",United States,Fatal,Airplane,N8554Y,LUSCOMBE,8,No,091,2.0,0.0,0.0,0.0,2.0,LUSCOMBE 8
20170418X44152,Accident,ERA17LA158,2017-04-18,"Euharlee, GA",United States,Non-Fatal,Airplane,N8368B,CESSNA,172,No,091,0.0,0.0,2.0,0.0,0.0,CESSNA 172
20170420X64332,Accident,GAA17CA239,2017-04-19,"Fallon, NV",United States,Non-Fatal,Airplane,N786KS,BEECH,C23,No,091,0.0,0.0,0.0,2.0,0.0,BEECH C23
20170619X52036,Accident,GAA17CA349,2017-04-19,"Tulsa, OK",United States,Non-Fatal,Airplane,N4148T,PIPER,PA44,No,091,0.0,0.0,0.0,2.0,0.0,PIPER PA44
20170420X70152,Accident,ERA17LA160,2017-04-20,"Yankeetown, FL",United States,Non-Fatal,Airplane,N6013E,CESSNA,172,No,091,0.0,0.0,0.0,2.0,0.0,CESSNA 172
20170420X82100,Accident,CEN17LA162,2017-04-20,"Salida, CO",United States,Non-Fatal,Airplane,N9589T,CESSNA,210,No,091,0.0,0.0,0.0,1.0,0.0,CESSNA 210
20170424X30607,Accident,GAA17CA242,2017-04-20,"Van Nuys, CA",United States,Non-Fatal,Airplane,N7969C,NORTH AMERICAN,SNJ,No,091,0.0,0.0,0.0,2.0,0.0,NORTH AMERICAN SNJ
20170510X84828,Incident,DCA17WA113,2017-04-20,"Palma de Mallorca, Spain",Spain,,Airplane,EC-JBK,BOEING,737,No,NUSC,0.0,0.0,0.0,0.0,0.0,BOEING 737
20170421X03812,Accident,WPR17LA088,2017-04-21,"Kernville, CA",United States,Non-Fatal,Airplane,N9975D,PIPER,PA 22-150,No,091,0.0,0.0,3.0,0.0,0.0,PIPER PA 22-150
20170424X62153,Accident,CEN17LA165,2017-04-21,"Vidrine, LA",United States,Non-Fatal,Airplane,N653LA,AIR TRACTOR INC,AT 602,No,137,0.0,0.0,0.0,1.0,0.0,AIR TRACTOR INC AT 602
20170425X32332,Accident,GAA17CA243,2017-04-21,"Killeen, TX",United States,Non-Fatal,Airplane,N3308U,CESSNA,182,No,091,0.0,0.0,0.0,1.0,0.0,CESSNA 182
20170424X90258,Accident,ERA17LA166,2017-04-23,"Ovid, NY",United States,Non-Fatal,Airplane,N9907B,CESSNA,182A,No,091,0.0,1.0,0.0,0.0,1.0,CESSNA 182A
